brand,product_id,sku,product_name,image_id,image_url,field_changed,before,after,status,error
Rheem,2140,WRX05021,RHEEM WRX05021 - 5 kW Electric Heat Kit,6558,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2140/images/6558/Untitled_45,description,RHEEM WRX05021 5 kW Electric Heat Kit,,skipped,
Rheem,2141,WRX07521,RHEEM WRX07521 - 7.5 kW Electric Heat Kit,6559,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2141/images/6559/Untitled_45,description,RHEEM WRX07521 7.5 kW Electric Heat Kit,,skipped,
Rheem,2142,WRX10021,RHEEM WRX10021 - 10 kW Electric Heat Kit,6560,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2142/images/6560/Untitled_45,description,RHEEM WRX10021 10 kW Electric Heat Kit,,skipped,
Rheem,2143,WRX1502B1,RHEEM WRX1502B1 - 15 kW Electric Heat Kit,6561,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2143/images/6561/1703708620.,description,RHEEM WRX1502B1 15 kW Electric Heat Kit,,skipped,
Goodman,421,GR9S800603ANA,Goodman GR9S800603ANA 80% AFUE Gas Furnace,1899,https://cdn11.bigcommerce.com/s-8jovicf28z/products/421/images/1899/GM9S800403AN,description,Goodman GR9S800603ANA 80% AFUE Gas Furnace,,skipped,
Goodman,423,GR9S800604BNA,Goodman GR9S800604BNA 80% AFUE Gas Furnace,1911,https://cdn11.bigcommerce.com/s-8jovicf28z/products/423/images/1911/1681929754.1,description,Goodman GR9S800604BNA 80% AFUE Gas Furnace,,skipped,
Goodman,426,GR9S800804CNA,Goodman GR9S800804CNA 80% AFUE Gas Furnace,1929,https://cdn11.bigcommerce.com/s-8jovicf28z/products/426/images/1929/1681930205.1,description,Goodman GR9S800804CNA 80% AFUE Gas Furnace,,skipped,
Goodman,428,GR9S801005CNA,Goodman GR9S801005CNA 80% AFUE Gas Furnace,1941,https://cdn11.bigcommerce.com/s-8jovicf28z/products/428/images/1941/1681930454.1,description,Goodman GR9S801005CNA 80% AFUE Gas Furnace,,skipped,
Solace,2476,Prime,Solace Wi-Fi Touch Screen Thermostat Prime Edition,7169,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2476/images/7169/Solace-Box_,description,Solace Wi Fi Touch Screen Thermostat Prime Edition,,skipped,
Solace,2477,CPMOD-01,Common Power Module,7167,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2477/images/7167/Untitled_-_,description,Common Power Module,,skipped,
Solace,2478,CMFTSNS-01,Comfort Sensor,7168,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2478/images/7168/Untitled_-_,description,Comfort Sensor,,skipped,
Solace,2830,PLUSGAS,Solace Plus Digital Programmable Thermostat (GAS),8114,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2830/images/8114/Untitled_-_,description,Solace Plus Digital Programmable Thermostat (GAS),,skipped,
